CandidateID,Skills,Interests,Hobbies,Work_Style,Career_Goals,Recommended_Career,Career_Category,Intermediate_Path,Salary_PKR_Monthly
14,Counseling;Biochemistry;Microbiology,Nutrition;Healthcare,Reading Medical Journals,Making critical decisions,Open my own clinic,Pharmacist,Medical & Health,FSc Pre-Medical,240000
15,Video Editing;After Effects;UX Research;Illustrator;Adobe XD,Interior Decoration;Digital Media;Drawing,DIY Crafts,Working creatively and freely,Build a design portfolio,Fashion Designer,Design & Creative,FA (Arts) or ICS,105000
16,Content Writing;Social Media;Brand Management,Business;Management,Reading Business Books,Working in a fast-paced environment,Become a marketing leader,Supply Chain Manager,Business & Marketing,ICOM (Commerce),160000
17,Surgery;Dentistry;Nursing Procedures,Medicine;Mental Health;Science,Helping Neighbors,Hands-on practical work,Achieve social respect;Serve the community,Doctor (MBBS),Medical & Health,FSc Pre-Medical,270000
18,Research Methods;Litigation;Drafting,Research;Policy Making,Community Work,Working with diverse communities,Influence policy making;Become a senior advocate,Lawyer,Law & Social Sciences,FA (Arts) or FSc,265000
19,Auditing;Risk Management;Excel;Credit Analysis;Financial Modeling,Business;Money Management,Business Case Studies;Reading Business News,Following rules and regulations,Work in banking sector;Financial independence and high salary,Banker,Finance & Commerce,ICOM (Commerce),135000
20,GIS;Communication;Crop Science;Public Speaking;Journalism,Social Work;Agriculture;Community Service,Community Work,Flexible and creative work environment,Work in NGOs and international organizations;Job stability in government,Journalist,Education & Media,FA (Arts) or FSc,55000
21,CRM;Project Management;Agile,Strategy;Marketing,Starting Small Businesses,Communicating with different stakeholders,Build a brand,Digital Marketer,Business & Marketing,ICOM (Commerce),175000
22,Logistics;Supply Chain;Sales;HR Management,Management;Leadership;Business,Starting Small Businesses;Debating,Communicating with different stakeholders,Grow professionally in business;Become a marketing leader,Supply Chain Manager,Business & Marketing,ICOM (Commerce),145000
23,Git;NLP;Data Analysis;Docker;React,Gaming;Data Science,Playing Video Games;Participating in Hackathons,Analyzing data and finding patterns,Work in top global companies;Solve real-world tech problems,Game Developer,IT & Data,ICS (Pre-Engineering),265000
24,Curriculum Development;Sustainability;Research,Social Work;Communication;Writing,Nature Walks;Writing Stories,Conducting research and fieldwork,Work for environmental causes;Make a difference in society,Agricultural Officer,Education & Media,FA (Arts) or FSc,40000
25,Economics;Research Methods;Tax Law;Statistics;Public Speaking,Human Rights;Politics;Social Issues,Writing Articles,Analytical and critical thinking,Influence policy making;Pass CSS exams,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,105000
26,Environmental Science;Crop Science;Sustainability,Research;Writing,Writing Stories,Working with children and students,Work in NGOs and international organizations,Teacher,Education & Media,FA (Arts) or FSc,125000
27,Chemistry;Nutrition;Diagnosis,Science;Medicine,Gardening,Following structured procedures,Open my own clinic,Psychologist,Medical & Health,FSc Pre-Medical,155000
28,Video Editing;Adobe XD;3D Visualization,Drawing;Storytelling;Visual Arts,Watching Design Videos;DIY Crafts,Working creatively and freely,Express creativity professionally,Graphic Designer,Design & Creative,FA (Arts) or ICS,50000
29,Risk Management;Credit Analysis;Financial Reporting,Finance;Business Strategy,Reading Finance Books,Presenting reports to clients,Achieve professional certification;Financial independence and high salary,Financial Analyst,Finance & Commerce,ICOM (Commerce),95000
30,Teaching;Soil Science;Crop Science;Research,Media;Writing;Children,Watching Documentaries;Volunteering at Schools,Broadcasting and reporting,Work for environmental causes,Environmental Scientist,Education & Media,FA (Arts) or FSc,105000
31,Structural Analysis;Civil Design;Power Systems,Mathematics;Building Things;Science,Playing with Lego;Scale Modelling,Solving technical problems,Solve structural challenges;Start my own construction company,Mechanical Engineer,Engineering,FSc Pre-Engineering,195000
32,Agriculture;Writing;Journalism;GIS,Agriculture;Research;Media,Nature Walks;Volunteering at Schools,Community engagement,Work in NGOs and international organizations;Contribute to agricultural development,Environmental Scientist,Education & Media,FA (Arts) or FSc,105000
33,3D Visualization;Fashion Design;Photoshop;Figma,Creativity;Photography;Interior Decoration,Interior Decoration;Fashion Styling,Working on aesthetics and visuals,Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,150000
34,Premiere Pro;Illustrator;UI Design,Digital Media;Visual Arts,DIY Crafts;Photography,Working creatively and freely,Collaborate with global clients,Graphic Designer,Design & Creative,FA (Arts) or ICS,90000
35,Communication;Research;GIS;Agriculture,Agriculture;Environment,Volunteering at Schools,Community engagement,Make a difference in society,Journalist,Education & Media,FA (Arts) or FSc,40000
36,Structural Analysis;MATLAB;CAD;Civil Design,Innovation;Design,Visiting Construction Sites;Building Models,Solving technical problems,Work on mega projects,Mechanical Engineer,Engineering,FSc Pre-Engineering,200000
37,TensorFlow;SQL;Data Analysis;Algorithms,Programming;Mobile Apps;Gadgets,Open Source Contribution,Working in teams on tech projects,High salary and financial freedom;Work in top global companies,Mobile App Developer,IT & Data,ICS (Pre-Engineering),200000
38,Wireframing;Sketching;Graphic Design,Storytelling;Photography,Interior Decoration;Video Editing,Expressing ideas visually,Express creativity professionally;Earn through passion,Interior Designer,Design & Creative,FA (Arts) or ICS,145000
39,Investment Analysis;Auditing;Budgeting,Stock Market;Law;Numbers,Reading Business News;Tracking Stock Markets,Office-based desk work,Achieve professional certification,Chartered Accountant,Finance & Commerce,ICOM (Commerce),280000
40,Medical Research;Nutrition;Dentistry,Medicine;Human Body,Gardening;Animal Care,Working in a team of professionals,Work in government hospitals,Dentist,Medical & Health,FSc Pre-Medical,285000
41,Writing;Communication;GIS,Communication;Media;Community Service,Gardening,Broadcasting and reporting,Work for environmental causes;Make a difference in society,Teacher,Education & Media,FA (Arts) or FSc,60000
42,Broadcasting;Photography;Research;Reporting,Children;Social Work;Research,Watching Documentaries,Flexible and creative work environment,Work for environmental causes;Job stability in government,Teacher,Education & Media,FA (Arts) or FSc,75000
43,Auditing;Investment Analysis;Banking Operations;Credit Analysis,Banking;Stock Market;Law,Reading Finance Books;Managing Personal Budget,Office-based desk work,Become a CA or ACCA qualified,Chartered Accountant,Finance & Commerce,ICOM (Commerce),275000
44,Anatomy;Surgery;Clinical Skills;Medical Research;Biology,Mental Health;Helping People,Helping Neighbors;Animal Care,Long shifts with high responsibility,Open my own clinic,Doctor (MBBS),Medical & Health,FSc Pre-Medical,210000
45,First Aid;Pharmacology;Mental Health;Anatomy,Nutrition;Biology;Healthcare,Gardening;Cooking Healthy Food,Working directly with people,Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,225000
46,Agile;Negotiation;Market Research;Recruitment;Brand Management,Team Work;Entrepreneurship,Volunteering;Running Social Media Pages,Building relationships,High salary in management,HR Manager,Business & Marketing,ICOM (Commerce),80000
47,Cloud Computing;Deep Learning;Database Management;Data Analysis;SQL,Technology;Innovation,Math Competitions;Playing Video Games,Remote work and freelancing,Solve real-world tech problems;Work in top global companies,AI Engineer,IT & Data,ICS (Pre-Engineering),265000
48,Medical Research;Biochemistry;Clinical Skills;Patient Care,Mental Health;Science;Healthcare,Cooking Healthy Food;Meditation,Working in a team of professionals,Achieve social respect,Doctor (MBBS),Medical & Health,FSc Pre-Medical,295000
49,Agriculture;GIS;Photography;Public Speaking;Journalism,Communication;Writing;Teaching,Reading Books;Nature Walks,Flexible and creative work environment,Contribute to agricultural development,Journalist,Education & Media,FA (Arts) or FSc,110000
50,Git;TensorFlow;Deep Learning,Problem Solving;Cybersecurity,Building Robots,Solving logical problems,High salary and financial freedom;Achieve financial independence early,Data Scientist,IT & Data,ICS (Pre-Engineering),105000
51,Algorithms;Flutter;SQL,Gaming;Software Development,Participating in Hackathons,Working independently with deadlines,Solve real-world tech problems,Network Engineer,IT & Data,ICS (Pre-Engineering),265000
52,Supply Chain;Sales;Market Research;E-commerce;Social Media,Entrepreneurship;Sales;Business,Debating,Creative and strategic thinking,Work in corporate sector,Marketing Manager,Business & Marketing,ICOM (Commerce),100000
53,Git;Flutter;SQL,Artificial Intelligence;Research;Innovation,Reading Tech Blogs;Participating in Hackathons,Remote work and freelancing,High salary and financial freedom;Achieve financial independence early,Data Scientist,IT & Data,ICS (Pre-Engineering),245000
54,Dentistry;Mental Health;Counseling,Mental Health;Healthcare,Playing Sports,Hands-on practical work,Open my own clinic;Serve the community,Psychologist,Medical & Health,FSc Pre-Medical,105000
55,Project Management;HR Management;Social Media;Logistics;Leadership,Sales;Marketing,Watching Entrepreneurship Videos,Communicating with different stakeholders,Grow professionally in business,Supply Chain Manager,Business & Marketing,ICOM (Commerce),120000
56,Photography;Subject Knowledge;Sustainability;Environmental Science,Communication;Writing;Journalism,Writing Stories,Conducting research and fieldwork,Raise awareness through media,Agricultural Officer,Education & Media,FA (Arts) or FSc,105000
57,GIS;Subject Knowledge;Soil Science;Public Speaking;Content Creation,Journalism;Children;Community Service,Gardening;Teaching Younger Students,Flexible and creative work environment,Raise awareness through media,Environmental Scientist,Education & Media,FA (Arts) or FSc,90000
58,Project Management;Digital Marketing;Business Strategy;E-commerce;ERP Systems,Business;Operations;Sales,Starting Small Businesses;Volunteering,Communicating with different stakeholders,Become a marketing leader;Build a brand,Marketing Manager,Business & Marketing,ICOM (Commerce),95000
59,Psychology;Dentistry;Anatomy;Nutrition,Mental Health;Community Service;Healthcare,First Aid Training;Meditation,Helping and caring for others,Serve the community,Pharmacist,Medical & Health,FSc Pre-Medical,95000
60,Portfolio Management;ACCA;Stock Market;Financial Reporting;Credit Analysis,Stock Market;Accounting,Managing Personal Budget;Playing Chess,Making financial decisions,Work in banking sector,Banker,Finance & Commerce,ICOM (Commerce),130000
61,Physiology;Nursing Procedures;Medical Research,Nutrition;Research;Community Service,Meditation,Working in a clinical environment,Open my own clinic;Work in government hospitals,Nurse,Medical & Health,FSc Pre-Medical,205000
62,Machine Learning;Python;React,Cybersecurity;Research;Software Development,Coding Personal Projects;Reading Tech Blogs,Analyzing data and finding patterns,Achieve financial independence early;High salary and financial freedom,Game Developer,IT & Data,ICS (Pre-Engineering),260000
63,Corporate Finance;Credit Analysis;Financial Modeling;Excel;Auditing,Business;Business Strategy;Law,Tracking Stock Markets;Business Case Studies,Working independently on accounts,Financial independence and high salary,Investment Analyst,Finance & Commerce,ICOM (Commerce),265000
64,Git;AWS;Java,Research;Software Development,Coding Personal Projects,Solving logical problems,Work remotely and freelance globally,Game Developer,IT & Data,ICS (Pre-Engineering),235000
65,FBR;Contract Law;Negotiation,Justice;Economics,Reading History Books;Watching Documentaries,Public speaking and presentations,Work in international law,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,395000
66,ACCA;Taxation;Financial Modeling,Finance;Business;Business Strategy,Business Case Studies;Solving Puzzles,Working with numbers and data,Manage large investments;Work in top accounting firms,Financial Analyst,Finance & Commerce,ICOM (Commerce),165000
67,Litigation;Research Methods;Policy Analysis;Diplomacy,Government;Economics,Watching Documentaries,Long hours of reading and research,Work in government sector,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,310000
68,Surgery;Biology;Chemistry;Nursing Procedures,Nutrition;Community Service;Biology,Meditation;Reading Medical Journals,Helping and caring for others,Specialize in medicine;Help and save lives,Psychologist,Medical & Health,FSc Pre-Medical,105000
69,Flutter;Git;Database Management;Unity,Software Development;Innovation,Solving Puzzles;Watching Tech YouTube,Working alone on focused tasks,Work in top global companies;Achieve financial independence early,Mobile App Developer,IT & Data,ICS (Pre-Engineering),260000
70,Soil Science;Content Creation;GIS,Agriculture;Environment;Children,Volunteering at Schools,Conducting research and fieldwork,Work for environmental causes;Work in NGOs and international organizations,Environmental Scientist,Education & Media,FA (Arts) or FSc,125000
71,Artificial Intelligence;Deep Learning;API Development;JavaScript,Software Development;Innovation;Mobile Apps,Open Source Contribution;Coding Personal Projects,Remote work and freelancing,Build innovative products;Solve real-world tech problems,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),135000
72,Public Speaking;Corporate Law;Legal Research;Foreign Policy;Tax Law,Economics;Policy Making,Reading History Books,Long hours of reading and research,Work in government sector;Become a senior advocate,Economist,Law & Social Sciences,FA (Arts) or FSc,340000
73,Negotiation;Project Management;Market Research;Sales;CRM,Strategy;Operations;Team Work,Sports;Debating,Working in a fast-paced environment,Work in corporate sector;High salary in management,Supply Chain Manager,Business & Marketing,ICOM (Commerce),120000
74,3D Visualization;Photoshop;UX Research;Prototyping,Interior Decoration;Creativity,DIY Crafts;Interior Decoration,Expressing ideas visually,Build a design portfolio,Fashion Designer,Design & Creative,FA (Arts) or ICS,165000
75,Biochemistry;Dentistry;Physiology;Pathology;Anatomy,Science;Nutrition;Healthcare,Helping Neighbors,Following structured procedures,Job stability and security;Serve the community,Pharmacist,Medical & Health,FSc Pre-Medical,295000
76,Drafting;Diplomacy;Contract Law;Litigation,Policy Making;Research;Justice,Writing Articles;Volunteering,Working with government and institutions,High social status,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,180000
77,Pathology;Surgery;Microbiology;Medical Research;Psychology,Human Body;Medicine;Science,Cooking Healthy Food,Working directly with people,Do medical research;Work in government hospitals,Pharmacist,Medical & Health,FSc Pre-Medical,95000
78,Financial Modeling;Investment Analysis;Stock Market,Accounting;Numbers;Business Strategy,Debating,Analyzing financial reports,Work in top accounting firms;Start a financial consultancy,ACCA Accountant,Finance & Commerce,ICOM (Commerce),220000
79,FBR;Diplomacy;Economics;SECP Regulations,Debating;History;Policy Making,Watching Documentaries,Working with diverse communities,Become a senior advocate,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,370000
80,Subject Knowledge;Soil Science;Agriculture,Broadcasting;Agriculture;Teaching,Teaching Younger Students;Writing Stories,Community engagement,Work in NGOs and international organizations;Contribute to agricultural development,Environmental Scientist,Education & Media,FA (Arts) or FSc,110000
81,Clinical Skills;Microbiology;Pathology;Patient Care;Psychology,Research;Science,Playing Sports,Making critical decisions,Job stability and security;Specialize in medicine,Nurse,Medical & Health,FSc Pre-Medical,245000
82,Statistics;Contract Law;Constitutional Law;SECP Regulations;FBR,Politics;Law,Following Politics;Debating,Debating and arguing cases,Serve the public,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,390000
83,Project Management;SEO;Digital Marketing,Sales;People,Networking;Reading Business Books,Building relationships,Build a brand;Work in top companies,Supply Chain Manager,Business & Marketing,ICOM (Commerce),135000
84,Legal Research;Litigation;FBR;Foreign Policy;Contract Law,Government;Economics,Volunteering;Writing Articles,Working with policies and regulations,Achieve justice and fairness,Lawyer,Law & Social Sciences,FA (Arts) or FSc,90000
85,HR Management;Agile;E-commerce;Market Research,Leadership;Team Work;Business,Starting Small Businesses,Working in a fast-paced environment,Build a brand,HR Manager,Business & Marketing,ICOM (Commerce),105000
86,CA;Credit Analysis;IFRS;Stock Market;Auditing,Investing;Finance,Tracking Stock Markets;Playing Chess,Working under strict deadlines,Work in banking sector,Banker,Finance & Commerce,ICOM (Commerce),250000
87,Curriculum Development;Content Creation;Crop Science;Environmental Science,Agriculture;Nature;Social Work,Blogging;Watching Documentaries,Community engagement,Contribute to agricultural development,Teacher,Education & Media,FA (Arts) or FSc,100000
88,Photoshop;UX Research;Branding;Adobe XD,Colors;Aesthetics;Art,Reading Design Books,Freelance and project-based work,Earn through passion,Fashion Designer,Design & Creative,FA (Arts) or ICS,70000
89,Anatomy;Psychology;Biology;Nutrition,Science;Research,Reading Medical Journals;Reading Biology Books,Helping and caring for others,Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,225000
90,CAD;Mechanics;Power Systems;Thermodynamics,Mathematics;Robotics,Scale Modelling,Working on physical projects,Contribute to national development,Architect,Engineering,FSc Pre-Engineering,120000
91,3D Modeling;MATLAB;Circuit Design,Machines;Science,Solving Math Problems,Hands-on practical work,Job stability in government;Work abroad in engineering,Electrical Engineer,Engineering,FSc Pre-Engineering,155000
92,After Effects;Premiere Pro;Interior Design,Creativity;Aesthetics;Digital Media,Creating Digital Art,Working creatively and freely,Express creativity professionally;Work as a freelance designer,UX/UI Designer,Design & Creative,FA (Arts) or ICS,85000
93,Manufacturing;Power Systems;Circuit Design,Infrastructure;Construction;Building Things,Visiting Construction Sites;Playing with Lego,Working on physical projects,High salary in engineering firms;Work abroad in engineering,Architect,Engineering,FSc Pre-Engineering,175000
94,GIS;Teaching;Subject Knowledge;Research,Communication;Social Work,Watching Documentaries,Conducting research and fieldwork,Work for environmental causes;Contribute to agricultural development,Teacher,Education & Media,FA (Arts) or FSc,85000
95,Illustrator;UI Design;Fashion Design;Wireframing,Media;Photography;Interior Decoration,Drawing and Sketching;Painting,Using creative tools and software,Express creativity professionally;Build a design portfolio,Fashion Designer,Design & Creative,FA (Arts) or ICS,130000
96,Site Supervision;Structural Analysis;Circuit Design;Urban Planning;AutoCAD,Machines;Electronics;Physics,Playing with Lego;DIY Projects,Working with calculations and designs,High salary in engineering firms,Electrical Engineer,Engineering,FSc Pre-Engineering,210000
97,Pattern Making;Typography;UX Research,Storytelling;Creativity;Digital Media,Video Editing;Creating Digital Art,Expressing ideas visually,Work as a freelance designer,Graphic Designer,Design & Creative,FA (Arts) or ICS,150000
98,International Relations;SECP Regulations;Public Speaking;Litigation;Policy Analysis,International Affairs;Human Rights;Economics,Writing Articles;Reading News,Long hours of reading and research,Become a senior advocate,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,250000
99,Research;Climate Analysis;Agriculture,Community Service;Children;Writing,Volunteering at Schools;Writing Stories,Teaching and explaining concepts,Raise awareness through media,Journalist,Education & Media,FA (Arts) or FSc,50000
100,Prototyping;Branding;Typography;Color Theory;Pattern Making,Photography;Creativity,Interior Decoration;Painting,Freelance and project-based work,Work as a freelance designer;Collaborate with global clients,UX/UI Designer,Design & Creative,FA (Arts) or ICS,145000
101,Anatomy;Pathology;Mental Health;Pharmacology,Community Service;Research,Reading Medical Journals,Hands-on practical work,Serve the community;Achieve social respect,Pharmacist,Medical & Health,FSc Pre-Medical,145000
102,Counseling;First Aid;Psychology;Microbiology,Community Service;Medicine,Volunteering at Hospitals;Gardening,Hands-on practical work,Serve the community,Doctor (MBBS),Medical & Health,FSc Pre-Medical,235000
103,Content Creation;Broadcasting;Sustainability,Social Work;Writing,Watching Documentaries,Working outdoors in nature,Become a respected journalist;Job stability in government,Teacher,Education & Media,FA (Arts) or FSc,90000
104,Data Analysis;Flutter;Node.js,Gadgets;Problem Solving,Watching Tech YouTube;Reading Tech Blogs,Solving logical problems,Work remotely and freelance globally;High salary and financial freedom,AI Engineer,IT & Data,ICS (Pre-Engineering),250000
105,Premiere Pro;3D Visualization;Graphic Design;Photoshop;Sketching,Storytelling;Design;Drawing,Video Editing,Freelance and project-based work,Build a recognizable brand;Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,95000
106,Statistics;International Relations;Policy Analysis;Political Science;Legal Research,Justice;Law;Politics,Reading History Books;Community Work,Working with policies and regulations,Become a senior advocate;Serve the public,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,285000
107,Artificial Intelligence;Deep Learning;Linux;C++;Android Development,Research;Mobile Apps,Math Competitions,Solving logical problems,Work in top global companies;Build innovative products,Data Scientist,IT & Data,ICS (Pre-Engineering),135000
108,Fashion Design;Figma;After Effects,Art;Photography,Painting,Expressing ideas visually,Build a recognizable brand,Graphic Designer,Design & Creative,FA (Arts) or ICS,105000
109,Branding;Color Theory;Pattern Making;UI Design;Adobe XD,Interior Decoration;Photography,Interior Decoration,Using creative tools and software,Start a creative agency;Build a design portfolio,UX/UI Designer,Design & Creative,FA (Arts) or ICS,110000
110,Database Management;Computer Vision;Android Development;NLP,Gadgets;Programming,Building PCs,Analyzing data and finding patterns,Work remotely and freelance globally,AI Engineer,IT & Data,ICS (Pre-Engineering),95000
111,Branding;Figma;Sketching;Pattern Making,Colors;Storytelling;Design,Video Editing,Collaborating with clients,Collaborate with global clients;Earn through passion,Video Editor,Design & Creative,FA (Arts) or ICS,95000
112,Policy Analysis;Economics;Public Speaking;Constitutional Law,International Affairs;Justice;History,Volunteering;Reading History Books,Analytical and critical thinking,Serve the public,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,385000
113,3D Visualization;Sketching;Photoshop;Illustrator,Visual Arts;Art;Media,Fashion Styling,Working creatively and freely,Start a creative agency;Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,130000
114,Construction Management;Circuit Design;Robotics;Thermodynamics;Civil Design,Problem Solving;Building Things;Innovation,DIY Projects,Hands-on practical work,Work abroad in engineering,Architect,Engineering,FSc Pre-Engineering,85000
115,Financial Modeling;Stock Market;Excel,Economics;Law;Business,Entrepreneurship Blogs;Reading Business News,Office-based desk work,Manage large investments;Start a financial consultancy,Financial Analyst,Finance & Commerce,ICOM (Commerce),155000
116,Political Science;Diplomacy;Corporate Law;Foreign Policy;International Relations,Research;Law;Social Issues,Public Speaking;Writing Articles,Working with diverse communities,Become a senior advocate,Lawyer,Law & Social Sciences,FA (Arts) or FSc,315000
117,Architecture Design;Urban Planning;Project Management;Structural Analysis;Mechanics,Design;Construction,Visiting Construction Sites,Solving technical problems,High salary in engineering firms;Contribute to national development,Architect,Engineering,FSc Pre-Engineering,195000
118,C++;Docker;Algorithms;Flutter;Artificial Intelligence,Research;Cybersecurity;Problem Solving,Building PCs,Working with computers all day,High salary and financial freedom;Work remotely and freelance globally,AI Engineer,IT & Data,ICS (Pre-Engineering),275000
119,Sketching;Fashion Design;Pattern Making;Branding;Illustrator,Aesthetics;Visual Arts;Creativity,Watching Design Videos,Freelance and project-based work,Build a recognizable brand,Video Editor,Design & Creative,FA (Arts) or ICS,60000
120,ACCA;Auditing;Accounting;Credit Analysis,Investing;Entrepreneurship;Banking,Business Case Studies;Tracking Stock Markets,Working under strict deadlines,Work in banking sector;Work in government finance departments,Banker,Finance & Commerce,ICOM (Commerce),210000
121,CA;Banking Operations;Auditing,Banking;Money Management,Playing Chess;Reading Business News,Working with numbers and data,Start a financial consultancy;Work in banking sector,Financial Analyst,Finance & Commerce,ICOM (Commerce),260000
122,Corporate Finance;Auditing;Excel,Entrepreneurship;Numbers,Managing Personal Budget;Solving Puzzles,Following rules and regulations,Achieve professional certification;Financial independence and high salary,Chartered Accountant,Finance & Commerce,ICOM (Commerce),95000
123,Foreign Policy;Negotiation;Contract Law;Litigation;International Relations,Economics;History;Policy Making,Community Work,Working with policies and regulations,Influence policy making;High social status,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,115000
124,Anatomy;First Aid;Pathology;Surgery;Pharmacology,Wellness;Research;Medicine,First Aid Training,Helping and caring for others,Specialize in medicine;Do medical research,Nurse,Medical & Health,FSc Pre-Medical,185000
125,Deep Learning;Computer Vision;JavaScript;Algorithms,Cloud Technology;Technology,Reading Tech Blogs,Working alone on focused tasks,Solve real-world tech problems,Software Engineer,IT & Data,ICS (Pre-Engineering),115000
126,Sketching;Photoshop;Adobe XD;Typography,Colors;Interior Decoration;Aesthetics,Watching Design Videos,Freelance and project-based work,Start a creative agency,Graphic Designer,Design & Creative,FA (Arts) or ICS,170000
127,Sketching;UI Design;Figma;Prototyping,Fashion;Aesthetics,Creating Digital Art,Using creative tools and software,Build a recognizable brand;Work in media and advertising,Graphic Designer,Design & Creative,FA (Arts) or ICS,80000
128,Manufacturing;MATLAB;Architecture Design;Electrical Systems,Design;Science,Astronomy;DIY Projects,Working on site and in offices,Start my own construction company,Architect,Engineering,FSc Pre-Engineering,130000
129,Manufacturing;Power Systems;Electrical Systems,Infrastructure;Design,Building Models,Working in teams on large projects,Work abroad in engineering;Work on mega projects,Mechanical Engineer,Engineering,FSc Pre-Engineering,125000
130,E-commerce;Digital Marketing;Recruitment,Business;Sales,Sports;Debating,Building relationships,Grow professionally in business,Digital Marketer,Business & Marketing,ICOM (Commerce),165000
131,Project Management;Power Systems;Construction Management,Physics;Innovation,Solving Math Problems;Visiting Construction Sites,Working with calculations and designs,Work on mega projects,Architect,Engineering,FSc Pre-Engineering,180000
132,Environmental Science;Crop Science;Broadcasting;Writing,Environment;Teaching;Social Work,Gardening,Broadcasting and reporting,Make a difference in society;Raise awareness through media,Teacher,Education & Media,FA (Arts) or FSc,115000
133,SQL;Data Analysis;React;NLP;Linux,Research;Mobile Apps,Solving Puzzles;Building Robots,Working alone on focused tasks,Start a tech startup;Work remotely and freelance globally,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),195000
134,Nursing Procedures;Counseling;Mental Health;First Aid,Wellness;Nutrition,Reading Biology Books,Working in a clinical environment,Do medical research;Help and save lives,Dentist,Medical & Health,FSc Pre-Medical,90000
135,Electrical Systems;AutoCAD;Site Supervision,Mathematics;Science,Solving Math Problems,Working on physical projects,Build infrastructure for Pakistan,Civil Engineer,Engineering,FSc Pre-Engineering,180000
136,SECP Regulations;Research Methods;Contract Law;Drafting,Economics;Policy Making;History,Reading News,Research and writing,Work in international law,Economist,Law & Social Sciences,FA (Arts) or FSc,235000
137,Corporate Law;Research Methods;Legal Research;SECP Regulations;Statistics,International Affairs;Government,Reading News,Working with government and institutions,Work in international law,Lawyer,Law & Social Sciences,FA (Arts) or FSc,130000
